Year,State,Metric Name,Metric Value,Unit,Rank
2024,Washington,NG - Consumption per Customer - Residential Sector,65.6475132568564,Mcf per customer,31.0
2024,West Virginia,NG - Consumption per Customer - Residential Sector,62.28043362624104,Mcf per customer,29.0
2024,Wisconsin,NG - Consumption per Customer - Residential Sector,65.17461837722384,Mcf per customer,30.0
2024,Wyoming,NG - Consumption per Customer - Residential Sector,70.47699455247552,Mcf per customer,39.0
2024,Alabama,NG - Expenditures per Customer - All Sectors,1241.342417956784,$ per customer,37.0
2024,Alaska,NG - Expenditures per Customer - All Sectors,5000.528778091395,$ per customer,51.0
2024,Arizona,NG - Expenditures per Customer - All Sectors,841.8153603044991,$ per customer,8.0
2024,Arkansas,NG - Expenditures per Customer - All Sectors,1021.5252221102945,$ per customer,18.0
2024,California,NG - Expenditures per Customer - All Sectors,858.9743542817005,$ per customer,10.0
2024,Colorado,NG - Expenditures per Customer - All Sectors,915.7352920139276,$ per customer,14.0
2024,Connecticut,NG - Expenditures per Customer - All Sectors,1965.3937541493997,$ per customer,47.0
2024,Delaware,NG - Expenditures per Customer - All Sectors,1009.2519498524126,$ per customer,17.0
2024,District of Columbia,NG - Expenditures per Customer - All Sectors,1126.3819344624294,$ per customer,31.0
2024,Florida,NG - Expenditures per Customer - All Sectors,793.4503533146595,$ per customer,4.0
2024,Georgia,NG - Expenditures per Customer - All Sectors,1411.433173979584,$ per customer,43.0
2024,Hawaii,NG - Expenditures per Customer - All Sectors,3696.9480548257416,$ per customer,50.0
2024,Idaho,NG - Expenditures per Customer - All Sectors,805.3399946785805,$ per customer,5.0
2024,Illinois,NG - Expenditures per Customer - All Sectors,1024.1642451577832,$ per customer,19.0
2024,Indiana,NG - Expenditures per Customer - All Sectors,874.1388608613223,$ per customer,11.0
2024,Iowa,NG - Expenditures per Customer - All Sectors,780.8856535356523,$ per customer,3.0
2024,Kansas,NG - Expenditures per Customer - All Sectors,969.0882394193883,$ per customer,16.0
2024,Kentucky,NG - Expenditures per Customer - All Sectors,1043.3925476533673,$ per customer,20.0
2024,Louisiana,NG - Expenditures per Customer - All Sectors,845.8149713792293,$ per customer,9.0
2024,Maine,NG - Expenditures per Customer - All Sectors,2866.7305740987986,$ per customer,49.0
2024,Maryland,NG - Expenditures per Customer - All Sectors,1074.8460686354679,$ per customer,23.0
2024,Massachusetts,NG - Expenditures per Customer - All Sectors,1872.435848315875,$ per customer,46.0
2024,Michigan,NG - Expenditures per Customer - All Sectors,1054.7972541501674,$ per customer,21.0
2024,Minnesota,NG - Expenditures per Customer - All Sectors,1148.678659592712,$ per customer,32.0
2024,Mississippi,NG - Expenditures per Customer - All Sectors,1081.690460448242,$ per customer,24.0
2024,Missouri,NG - Expenditures per Customer - All Sectors,1271.5601368935966,$ per customer,40.0
2024,Montana,NG - Expenditures per Customer - All Sectors,819.8985525825445,$ per customer,6.0
2024,Nebraska,NG - Expenditures per Customer - All Sectors,839.4230202715269,$ per customer,7.0
2024,Nevada,NG - Expenditures per Customer - All Sectors,1120.4239842235497,$ per customer,28.0
2024,New Hampshire,NG - Expenditures per Customer - All Sectors,1534.2143606970396,$ per customer,44.0
2024,New Jersey,NG - Expenditures per Customer - All Sectors,1217.1088125343613,$ per customer,35.0
2024,New Mexico,NG - Expenditures per Customer - All Sectors,660.1058717037591,$ per customer,1.0
